Data,GDM
,8
,3
,9
,9
,8
,11
,12
,6
,2
,-27
,-35
,-17
,1
,2
,-2
,-10
,6
,6
,7
,10
,13
,8
,2
,12
,11
,10
,10
,10
,0
,-7
,-4
,-15
,-22
,-31
,-37
,-50
,-60
,-58
,-63
,-63
,-62
,-60
,-59
,-62
,-59
,-58
,-57
,-57
,-55
,-53
,-57
,-53
,-53
,-52
,-49
,-69
,-52
,-55
,-53
,-55
,-53
,-53
,-51
,-50
,-56
,-53
,-68
,-51
,-54
,-50
,-48
,-54
,-51
,-50
,-50
,-46
,-66
,-50
,-54
,-48
,-48
,-48
,-47
,-43
,-40
,-45
,-47
,-48
,-49
,-49
,-48
,-46
,-52
,-48
,-48
,-49
,-49
,-47
,-47
,-54
,-52
,-47
,-46
,-45
,-42
,-40
,-47
,-43
,-45
,-43
,-42
,-38
,-36
,-45
