Data,GDM
BR-PA,6
BR-PA,1
BR-PA,2
BR-PA,1
BR-PA,-1
BR-PA,2
BR-PA,12
BR-PA,24
BR-PA,-5
BR-PA,-19
BR-PA,-23
BR-PA,-2
BR-PA,1
BR-PA,-6
BR-PA,-1
BR-PA,-3
BR-PA,2
BR-PA,-1
BR-PA,1
BR-PA,5
BR-PA,5
BR-PA,4
BR-PA,-4
BR-PA,-4
BR-PA,3
BR-PA,-5
BR-PA,1
BR-PA,4
BR-PA,-1
BR-PA,-14
BR-PA,-2
BR-PA,-4
BR-PA,-7
BR-PA,-12
BR-PA,-18
BR-PA,-26
BR-PA,-50
BR-PA,-46
BR-PA,-53
BR-PA,-56
BR-PA,-52
BR-PA,-53
BR-PA,-55
BR-PA,-64
BR-PA,-53
BR-PA,-50
BR-PA,-47
BR-PA,-46
BR-PA,-48
BR-PA,-48
BR-PA,-62
BR-PA,-48
BR-PA,-44
BR-PA,-49
BR-PA,-48
BR-PA,-80
BR-PA,-57
BR-PA,-69
BR-PA,-58
BR-PA,-52
BR-PA,-49
BR-PA,-46
BR-PA,-57
BR-PA,-58
BR-PA,-70
BR-PA,-59
BR-PA,-71
BR-PA,-56
BR-PA,-47
BR-PA,-53
BR-PA,-54
BR-PA,-67
BR-PA,-54
BR-PA,-52
BR-PA,-48
BR-PA,-48
BR-PA,-74
BR-PA,-57
BR-PA,-69
BR-PA,-53
BR-PA,-42
BR-PA,-38
BR-PA,-51
BR-PA,-52
BR-PA,-52
BR-PA,-69
BR-PA,-59
BR-PA,-58
BR-PA,-57
BR-PA,-57
BR-PA,-57
BR-PA,-59
BR-PA,-69
BR-PA,-57
BR-PA,-60
BR-PA,-57
BR-PA,-58
BR-PA,-59
BR-PA,-60
BR-PA,-69
BR-PA,-49
BR-PA,-50
BR-PA,-48
BR-PA,-46
BR-PA,-47
BR-PA,-49
BR-PA,-63
BR-PA,-45
BR-PA,-44
BR-PA,-42
BR-PA,-41
BR-PA,-40
BR-PA,-41
BR-PA,-56
