Data,NOAMRSCA13002
2020-03-27,0.0
2020-03-28,2.0
2020-03-29,3.0
2020-03-30,4.0
2020-03-31,6.0
2020-04-01,8.0
2020-04-02,8.0
2020-04-03,12.0
2020-04-04,12.0
2020-04-05,18.0
2020-04-06,30.0
2020-04-07,44.0
2020-04-08,46.0
2020-04-09,50.0
2020-04-10,65.0
2020-04-11,67.0
2020-04-12,91.0
2020-04-13,97.0
2020-04-14,105.0
2020-04-15,117.0
2020-04-16,155.0
2020-04-17,168.0
2020-04-18,188.0
2020-04-19,212.0
2020-04-20,212.0
2020-04-21,231.0
2020-04-22,244.0
2020-04-23,254.0
2020-04-24,276.0
2020-04-25,321.0
2020-04-26,323.0
2020-04-27,345.0
2020-04-28,422.0
2020-04-29,523.0
2020-04-30,599.0
2020-05-01,653.0
2020-05-02,690.0
2020-05-03,750.0
2020-05-04,796.0
2020-05-05,850.0
2020-05-06,898.0
2020-05-07,1003.0
2020-05-08,1172.0
2020-05-09,1291.0
2020-05-10,1360.0
2020-05-11,1438.0
2020-05-12,1527.0
2020-05-13,1797.0
2020-05-14,1865.0
2020-05-15,2154.0
2020-05-16,2310.0
2020-05-17,2462.0
2020-05-18,2608.0
2020-05-19,2751.0
2020-05-20,3027.0
2020-05-21,3208.0
2020-05-22,3469.0
2020-05-23,3639.0
2020-05-24,4114.0
2020-05-25,4187.0
2020-05-26,4452.0
2020-05-27,4675.0
2020-05-28,4921.0
2020-05-29,5138.0
2020-05-30,5301.0
2020-05-31,5377.0
2020-06-01,5497.0
2020-06-02,5627.0
2020-06-03,5884.0
2020-06-04,5961.0
2020-06-05,6028.0
2020-06-06,6106.0
2020-06-07,6184.0
2020-06-08,6235.0
2020-06-09,6311.0
2020-06-10,6353.0
2020-06-11,6469.0
2020-06-12,6999.0
2020-06-13,7214.0
2020-06-14,7269.0
2020-06-15,7335.0
2020-06-16,7397.0
2020-06-17,7610.0
2020-06-18,7764.0
