Data,CNTiO_An
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-03-19,0
2020-03-20,0
2020-03-21,1
2020-03-22,0
2020-03-23,3
2020-03-24,2
2020-03-25,0
2020-03-26,0
2020-03-27,1
2020-03-28,1
2020-03-29,0
2020-03-30,1
2020-03-31,1
2020-04-01,1
2020-04-02,0
2020-04-03,0
2020-04-04,2
2020-04-05,3
2020-04-06,0
2020-04-07,2
2020-04-08,4
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,2
2020-04-13,1
2020-04-14,0
2020-04-15,0
2020-04-16,3
2020-04-17,2
2020-04-18,2
2020-04-19,0
2020-04-20,1
2020-04-21,3
2020-04-22,0
2020-04-23,0
2020-04-24,6
2020-04-25,7
2020-04-26,8
2020-04-27,9
2020-04-28,12
2020-04-29,37
2020-04-30,21
2020-05-01,27
2020-05-02,27
2020-05-03,55
2020-05-04,21
2020-05-05,36
2020-05-06,48
2020-05-07,72
2020-05-08,71
2020-05-09,78
2020-05-10,116
2020-05-11,59
2020-05-12,81
2020-05-13,104
2020-05-14,97
2020-05-15,150
2020-05-16,100
2020-05-17,103
2020-05-18,114
2020-05-19,150
2020-05-20,163
2020-05-21,167
2020-05-22,229
2020-05-23,225
2020-05-24,161
2020-05-25,105
2020-05-26,162
2020-05-27,165
2020-05-28,254
2020-05-29,334
2020-05-30,370
2020-05-31,195
