Data,NEPERSCA26010
2020-03-27,0.0
2020-03-28,58.0
2020-03-29,63.0
2020-03-30,67.0
2020-03-31,18.0
2020-04-01,82.0
2020-04-02,93.0
2020-04-03,123.0
2020-04-04,161.0
2020-04-05,186.0
2020-04-06,203.0
2020-04-07,321.0
2020-04-08,366.0
2020-04-09,504.0
2020-04-10,624.0
2020-04-11,742.0
2020-04-12,875.0
2020-04-13,1057.0
2020-04-14,1183.0
2020-04-15,1368.0
2020-04-16,1552.0
2020-04-17,1848.0
2020-04-18,2031.0
2020-04-19,2267.0
2020-04-20,2491.0
2020-04-21,2691.0
2020-04-22,3050.0
2020-04-23,3340.0
2020-04-24,3718.0
2020-04-25,4178.0
2020-04-26,4512.0
2020-04-27,4933.0
2020-04-28,5271.0
2020-04-29,5698.0
2020-04-30,6321.0
2020-05-01,6742.0
2020-05-02,7455.0
2020-05-03,7910.0
2020-05-04,8102.0
2020-05-05,8480.0
2020-05-06,9005.0
2020-05-07,9835.0
2020-05-08,10507.0
2020-05-09,11279.0
2020-05-10,11962.0
2020-05-11,12363.0
2020-05-12,12823.0
2020-05-13,13319.0
2020-05-14,13941.0
2020-05-15,14465.0
2020-05-16,16254.0
2020-05-17,17025.0
2020-05-18,17577.0
2020-05-19,18472.0
2020-05-20,19419.0
2020-05-21,20373.0
2020-05-22,21870.0
2020-05-23,22543.0
2020-05-24,23213.0
2020-05-25,23662.0
2020-05-26,24007.0
2020-05-27,24655.0
2020-05-28,25203.0
2020-05-29,26171.0
2020-05-30,26860.0
2020-05-31,27507.0
2020-06-01,27758.0
2020-06-02,28135.0
2020-06-03,28646.0
2020-06-04,29188.0
2020-06-05,29726.0
2020-06-06,30099.0
2020-06-07,30588.0
2020-06-08,30859.0
2020-06-09,31015.0
2020-06-10,31483.0
2020-06-11,32056.0
2020-06-12,32427.0
2020-06-13,32902.0
2020-06-14,33168.0
2020-06-15,33314.0
2020-06-16,33745.0
2020-06-17,34214.0
2020-06-18,34779.0
2020-06-19,35206.0
2020-06-20,35737.0
2020-06-21,36146.0
2020-06-22,36303.0
2020-06-23,36411.0
