Data,NEPIRSCA22007
2020-04-28,1.0
2020-04-29,1.0
2020-04-30,1.0
2020-05-01,1.0
2020-05-02,1.0
2020-05-03,1.0
2020-05-04,1.0
2020-05-05,7.0
2020-05-06,9.0
2020-05-07,9.0
2020-05-08,10.0
2020-05-09,13.0
2020-05-10,13.0
2020-05-11,14.0
2020-05-12,22.0
2020-05-13,31.0
2020-05-14,33.0
2020-05-15,35.0
2020-05-16,40.0
2020-05-17,42.0
2020-05-18,40.0
2020-05-19,41.0
2020-05-20,43.0
2020-05-21,47.0
2020-05-22,49.0
2020-05-23,50.0
2020-05-24,51.0
2020-05-25,52.0
2020-05-26,58.0
2020-05-27,65.0
2020-05-28,68.0
2020-05-29,75.0
2020-05-30,77.0
2020-05-31,79.0
2020-06-01,86.0
2020-06-02,98.0
2020-06-03,110.0
2020-06-04,114.0
2020-06-05,132.0
2020-06-06,137.0
2020-06-07,145.0
2020-06-08,146.0
2020-06-09,148.0
2020-06-10,155.0
2020-06-11,159.0
