Data,CNBiR_An
2020-02-25,0.0
2020-02-26,1.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,1.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,1.0
2020-03-05,4.0
2020-03-06,6.0
2020-03-07,6.0
2020-03-08,6.0
2020-03-09,0.0
2020-03-10,9.0
2020-03-11,18.0
2020-03-12,25.0
2020-03-13,21.0
2020-03-14,23.0
2020-03-15,79.0
2020-03-16,34.0
2020-03-17,57.0
2020-03-18,137.0
2020-03-19,193.0
2020-03-20,283.0
2020-03-21,224.0
2020-03-22,418.0
2020-03-23,345.0
2020-03-24,310.0
2020-03-25,232.0
2020-03-26,482.0
2020-03-27,502.0
2020-03-28,486.0
2020-03-29,353.0
2020-03-30,323.0
2020-03-31,1138.0
2020-04-01,1117.0
2020-04-02,1076.0
2020-04-03,1146.0
2020-04-04,1222.0
2020-04-05,852.0
2020-04-06,926.0
2020-04-07,1661.0
2020-04-08,2210.0
2020-04-09,1930.0
2020-04-10,1781.0
2020-04-11,1089.0
2020-04-12,1442.0
2020-04-13,1261.0
2020-04-14,1832.0
2020-04-15,3058.0
2020-04-16,2105.0
2020-04-17,3257.0
2020-04-18,2917.0
2020-04-19,2055.0
2020-04-20,1927.0
2020-04-21,2498.0
2020-04-22,2678.0
2020-04-23,3735.0
2020-04-24,3503.0
2020-04-25,5514.0
2020-04-26,3379.0
2020-04-27,4613.0
2020-04-28,5385.0
2020-04-29,6276.0
2020-04-30,7218.0
2020-05-01,5919.0
2020-05-02,5097.0
2020-05-03,4751.0
2020-05-04,6633.0
2020-05-05,6935.0
2020-05-06,10503.0
2020-05-07,9888.0
2020-05-08,10222.0
2020-05-09,10611.0
2020-05-10,6760.0
2020-05-11,5632.0
2020-05-12,9258.0
2020-05-13,11385.0
2020-05-14,13944.0
2020-05-15,15305.0
2020-05-16,14919.0
2020-05-17,7938.0
2020-05-18,13140.0
2020-05-19,17408.0
2020-05-20,19951.0
2020-05-21,18508.0
2020-05-22,20803.0
2020-05-23,16508.0
2020-05-24,15813.0
2020-05-25,11687.0
2020-05-26,16324.0
2020-05-27,20599.0
2020-05-28,26417.0
2020-05-29,26928.0
2020-05-30,33274.0
2020-05-31,15760.0
2020-06-01,12247.0
2020-06-02,28936.0
2020-06-03,28633.0
2020-06-04,30925.0
2020-06-05,30830.0
2020-06-06,27075.0
2020-06-07,18912.0
2020-06-08,15654.0
2020-06-09,32091.0
2020-06-10,32913.0
2020-06-11,30412.0
2020-06-12,25982.0
2020-06-13,21704.0
2020-06-14,17110.0
