Data,CNPiE_An
43886.0,0.0
43887.0,0.0
43888.0,0.0
43889.0,0.0
43890.0,0.0
43891.0,0.0
43892.0,0.0
43893.0,0.0
43894.0,0.0
43895.0,0.0
43896.0,0.0
43897.0,0.0
43898.0,0.0
43899.0,0.0
43900.0,0.0
43901.0,0.0
43902.0,2.0
43903.0,0.0
43904.0,0.0
43905.0,0.0
43906.0,0.0
43907.0,14.0
43908.0,0.0
43909.0,12.0
43910.0,2.0
43911.0,0.0
43912.0,7.0
43913.0,5.0
43914.0,0.0
43915.0,4.0
43916.0,2.0
43917.0,8.0
43918.0,12.0
43919.0,5.0
43920.0,5.0
43921.0,9.0
43922.0,8.0
43923.0,11.0
43924.0,30.0
43925.0,40.0
43926.0,25.0
43927.0,22.0
43928.0,129.0
43929.0,49.0
43930.0,154.0
43931.0,129.0
43932.0,132.0
43933.0,144.0
43934.0,194.0
43935.0,130.0
43936.0,200.0
43937.0,199.0
43938.0,323.0
43939.0,187.0
43940.0,266.0
43941.0,231.0
43942.0,218.0
43943.0,390.0
43944.0,221.0
43945.0,480.0
43946.0,508.0
43947.0,391.0
43948.0,460.0
43949.0,366.0
43950.0,470.0
43951.0,682.0
43952.0,458.0
43953.0,811.0
43954.0,498.0
43955.0,220.0
43956.0,462.0
43957.0,556.0
43958.0,943.0
43959.0,763.0
43960.0,883.0
43961.0,805.0
43962.0,493.0
43963.0,541.0
43964.0,592.0
43965.0,687.0
43966.0,621.0
43967.0,2279.0
43968.0,964.0
43969.0,642.0
43970.0,1148.0
43971.0,1318.0
43972.0,1351.0
43973.0,1849.0
43974.0,1026.0
43975.0,973.0
43976.0,607.0
43977.0,488.0
43978.0,1065.0
43979.0,794.0
43980.0,1542.0
43981.0,1172.0
43982.0,1023.0
43983.0,450.0
43984.0,608.0
43985.0,955.0
43986.0,1044.0
