Data,CAMiA_An
2020-05-30,737
2020-05-30,7
2020-05-30,30
2020-05-30,19
2020-05-30,9
2020-05-30,1
2020-05-30,151
2020-05-30,75
2020-05-30,14
2020-05-30,2
2020-05-30,203
2020-05-30,59
2020-05-30,190
2020-05-30,73
2020-05-30,176
2020-05-30,117
2020-05-30,39
2020-05-30,55
2020-05-30,15
2020-05-30,305
2020-05-30,99
2020-05-30,80
2020-05-30,8
2020-05-30,231
2020-05-30,1
2020-05-30,592
2020-05-30,179
2020-05-30,39
2020-05-30,57
2020-05-30,2
2020-05-30,84
2020-05-30,25
2020-05-30,10
2020-05-30,34
2020-05-30,135
2020-05-30,26
2020-05-30,69
2020-05-30,3
2020-05-30,87
2020-05-30,5
2020-05-30,470
2020-05-30,109
2020-05-30,15
2020-05-30,4
2020-05-30,112
2020-05-30,79
2020-05-30,19
2020-05-30,105
2020-05-30,75
2020-05-30,31
2020-05-30,81
2020-05-30,96
2020-05-30,16
2020-05-30,6
2020-05-30,20
2020-05-30,81
2020-05-30,846
2020-05-30,74
2020-05-30,746
2020-05-30,242
2020-05-30,78
2020-05-30,39
2020-05-30,169
2020-05-30,56
2020-05-30,69
2020-05-30,35
2020-05-30,33
2020-05-30,164
2020-05-30,181
2020-05-30,10
2020-05-30,40
2020-05-30,26
2020-05-30,21
2020-05-30,24
2020-05-30,20
2020-05-30,16
2020-05-30,47
2020-05-30,100
2020-05-30,9
2020-05-30,5
2020-05-30,62
2020-05-30,34
2020-05-30,12
2020-05-30,177
2020-05-30,31
2020-05-30,110
2020-05-30,9
2020-05-30,70
2020-05-30,194
2020-05-30,1902
2020-05-30,26
2020-05-30,265
2020-05-30,152
2020-05-30,8
2020-05-30,15
2020-05-30,95
2020-05-30,47
2020-05-30,42
2020-05-30,283
2020-05-30,11
2020-05-30,43
2020-05-30,1
2020-05-30,25
2020-05-30,6
2020-05-30,1
2020-05-30,149
2020-05-30,7
2020-05-30,41
2020-05-30,181
2020-05-30,1
2020-05-30,89
2020-05-30,37
2020-05-30,124
2020-05-30,3
2020-05-30,14
2020-05-30,21
2020-05-30,16
2020-05-30,129
2020-05-30,25
2020-05-30,66
2020-05-30,28
2020-05-30,73
2020-05-30,45
2020-05-30,2
2020-05-30,116
2020-05-30,141
2020-05-30,57
2020-05-30,373
2020-05-30,28
2020-05-30,35
2020-05-30,8
2020-05-30,20
2020-05-30,5
2020-05-30,51
2020-05-30,78
2020-05-30,581
2020-05-30,19
2020-05-30,84
2020-05-30,66
2020-05-30,141
2020-05-30,48
2020-05-30,279
2020-05-30,180
2020-05-30,160
2020-05-30,82
2020-05-30,48
2020-05-30,15
2020-05-30,206
2020-05-30,20
2020-05-30,26
2020-05-30,65
2020-05-30,18
2020-05-30,19
2020-05-30,60
2020-05-30,12
2020-05-30,66
2020-05-30,153
2020-05-30,1
2020-05-30,2
2020-05-30,251
2020-05-30,1476
2020-05-30,80
2020-05-30,11
2020-05-30,163
2020-05-30,126
2020-05-30,26
2020-05-30,26
2020-05-30,190
2020-05-30,108
2020-05-30,218
2020-05-30,103
2020-05-30,3
2020-05-30,155
2020-05-30,17
2020-05-30,42
2020-05-30,63
2020-05-30,20
2020-05-30,5
2020-05-30,52
2020-05-30,689
2020-05-30,3
2020-05-30,8882
2020-05-30,6
2020-05-30,196
2020-05-30,78
2020-05-30,8
2020-05-30,29
2020-05-30,58
2020-05-30,19
2020-05-30,63
2020-05-30,36
2020-05-30,5
2020-05-30,69
2020-05-30,12
2020-05-30,98
2020-05-30,5
2020-05-30,4
2020-05-30,3
2020-05-30,22
2020-05-30,306
2020-05-30,271
2020-05-30,12
2020-05-30,96
2020-05-30,54
2020-05-30,104
2020-05-30,242
2020-05-30,496
2020-05-30,97
2020-05-30,188
2020-05-30,36
2020-05-30,110
2020-05-30,85
2020-05-30,756
2020-03-21,1
2020-03-22,2
2020-03-23,2
2020-03-24,8
2020-03-25,8
2020-03-26,10
2020-03-27,13
2020-03-28,14
2020-03-29,16
2020-03-30,23
2020-03-31,31
2020-04-01,52
2020-04-02,71
2020-04-03,81
2020-04-04,88
2020-04-05,96
2020-04-06,133
2020-04-07,172
2020-04-08,230
2020-04-09,273
2020-04-10,293
2020-04-11,344
2020-04-12,398
2020-04-13,445
2020-04-14,478
2020-04-15,630
2020-04-16,695
2020-04-17,797
2020-04-18,1040
2020-04-19,1205
2020-04-20,1320
2020-04-21,1396
2020-04-22,1604
2020-04-23,1757
2020-04-24,1951
2020-04-25,2105
2020-04-26,2223
2020-04-27,2410
2020-04-28,2528
2020-04-29,2804
2020-04-30,3190
2020-05-01,3506
2020-05-02,3805
2020-05-03,4040
2020-05-04,4227
2020-05-05,4530
2020-05-06,5028
2020-05-07,5389
2020-05-08,5909
2020-05-09,6765
2020-05-10,7599
2020-05-11,8144
2020-05-12,8526
2020-05-13,9112
2020-05-14,9801
2020-05-15,10739
2020-05-16,11592
2020-05-17,12492
2020-05-18,13238
2020-05-19,14198
2020-05-20,15114
2020-05-21,16058
2020-05-22,17212
2020-05-23,18767
2020-05-24,21191
2020-05-25,22786
2020-05-26,24278
2020-05-27,26145
2020-05-28,27979
2020-05-29,30482
2020-05-30,32620
2020-05-31,34639
