Data,OACiE_An
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,3.0
2020-03-27,3.0
2020-03-28,4.0
2020-03-29,5.0
2020-03-30,5.0
2020-03-31,7.0
2020-04-01,8.0
2020-04-02,20.0
2020-04-03,22.0
2020-04-04,22.0
2020-04-05,26.0
2020-04-06,29.0
2020-04-07,31.0
2020-04-08,43.0
2020-04-09,55.0
2020-04-10,58.0
2020-04-11,67.0
2020-04-12,74.0
2020-04-13,91.0
2020-04-14,107.0
2020-04-15,116.0
2020-04-16,124.0
2020-04-17,149.0
2020-04-18,176.0
2020-04-19,186.0
2020-04-20,198.0
2020-04-21,215.0
2020-04-22,233.0
2020-04-23,266.0
2020-04-24,284.0
2020-04-25,310.0
2020-04-26,327.0
2020-04-27,390.0
2020-04-28,403.0
2020-04-29,441.0
2020-04-30,482.0
2020-05-01,505.0
2020-05-02,614.0
2020-05-03,663.0
2020-05-04,712.0
2020-05-05,795.0
2020-05-06,848.0
2020-05-07,903.0
2020-05-08,966.0
2020-05-09,1062.0
2020-05-10,1114.0
2020-05-11,1189.0
2020-05-12,1280.0
2020-05-13,1389.0
2020-05-14,1413.0
2020-05-15,1476.0
2020-05-16,1614.0
2020-05-17,1641.0
2020-05-18,1748.0
2020-05-19,1856.0
2020-05-20,1900.0
2020-05-21,2161.0
2020-05-22,2251.0
2020-05-23,2308.0
2020-05-24,2324.0
2020-05-25,2493.0
2020-05-26,2603.0
2020-05-27,2671.0
2020-05-28,2733.0
2020-05-29,2859.0
2020-05-30,2956.0
2020-05-31,3010.0
2020-06-01,3188.0
2020-06-02,3421.0
2020-06-03,3605.0
2020-06-04,3813.0
2020-06-05,3890.0
2020-06-06,3965.0
2020-06-07,3982.0
2020-06-08,4120.0
