Data,CNMiA_An
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-05-30,0
2020-03-21,0
2020-03-22,1
2020-03-23,0
2020-03-24,6
2020-03-25,0
2020-03-26,2
2020-03-27,3
2020-03-28,1
2020-03-29,2
2020-03-30,7
2020-03-31,8
2020-04-01,21
2020-04-02,19
2020-04-03,10
2020-04-04,7
2020-04-05,8
2020-04-06,37
2020-04-07,39
2020-04-08,58
2020-04-09,43
2020-04-10,20
2020-04-11,51
2020-04-12,54
2020-04-13,47
2020-04-14,33
2020-04-15,152
2020-04-16,65
2020-04-17,102
2020-04-18,243
2020-04-19,165
2020-04-20,115
2020-04-21,76
2020-04-22,208
2020-04-23,153
2020-04-24,194
2020-04-25,154
2020-04-26,118
2020-04-27,187
2020-04-28,118
2020-04-29,276
2020-04-30,386
2020-05-01,316
2020-05-02,299
2020-05-03,235
2020-05-04,187
2020-05-05,303
2020-05-06,498
2020-05-07,361
2020-05-08,520
2020-05-09,856
2020-05-10,834
2020-05-11,545
2020-05-12,382
2020-05-13,586
2020-05-14,689
2020-05-15,938
2020-05-16,853
2020-05-17,900
2020-05-18,746
2020-05-19,960
2020-05-20,916
2020-05-21,944
2020-05-22,1154
2020-05-23,1555
2020-05-24,2424
2020-05-25,1595
2020-05-26,1492
2020-05-27,1867
2020-05-28,1834
2020-05-29,2503
2020-05-30,2138
2020-05-31,2019
