Data,GDM
BR-MA,-7
BR-MA,-6
BR-MA,-7
BR-MA,-2
BR-MA,0
BR-MA,2
BR-MA,10
BR-MA,18
BR-MA,-8
BR-MA,-40
BR-MA,-34
BR-MA,-8
BR-MA,-5
BR-MA,-14
BR-MA,-14
BR-MA,-8
BR-MA,-5
BR-MA,-6
BR-MA,-1
BR-MA,-2
BR-MA,-3
BR-MA,-9
BR-MA,-8
BR-MA,-6
BR-MA,-4
BR-MA,-2
BR-MA,-3
BR-MA,-4
BR-MA,-12
BR-MA,-13
BR-MA,-12
BR-MA,-11
BR-MA,-16
BR-MA,-23
BR-MA,-29
BR-MA,-40
BR-MA,-55
BR-MA,-58
BR-MA,-62
BR-MA,-64
BR-MA,-64
BR-MA,-66
BR-MA,-64
BR-MA,-66
BR-MA,-64
BR-MA,-60
BR-MA,-59
BR-MA,-60
BR-MA,-61
BR-MA,-62
BR-MA,-64
BR-MA,-59
BR-MA,-55
BR-MA,-58
BR-MA,-61
BR-MA,-80
BR-MA,-68
BR-MA,-69
BR-MA,-62
BR-MA,-59
BR-MA,-59
BR-MA,-61
BR-MA,-63
BR-MA,-63
BR-MA,-68
BR-MA,-64
BR-MA,-74
BR-MA,-60
BR-MA,-63
BR-MA,-63
BR-MA,-65
BR-MA,-67
BR-MA,-63
BR-MA,-61
BR-MA,-58
BR-MA,-58
BR-MA,-73
BR-MA,-63
BR-MA,-65
BR-MA,-59
BR-MA,-68
BR-MA,-66
BR-MA,-67
BR-MA,-65
BR-MA,-68
BR-MA,-71
BR-MA,-68
BR-MA,-64
BR-MA,-66
BR-MA,-66
BR-MA,-73
BR-MA,-69
BR-MA,-72
BR-MA,-62
BR-MA,-59
BR-MA,-58
BR-MA,-59
BR-MA,-59
BR-MA,-62
BR-MA,-66
BR-MA,-58
BR-MA,-53
BR-MA,-52
BR-MA,-55
BR-MA,-54
BR-MA,-55
BR-MA,-60
BR-MA,-54
BR-MA,-50
BR-MA,-48
BR-MA,-49
BR-MA,-47
BR-MA,-51
BR-MA,-56
