Data,CABiAIiaiuiai
43918.0,2.0
43919.0,2.0
43920.0,2.0
43921.0,4.0
43922.0,4.0
43923.0,4.0
43924.0,5.0
43925.0,6.0
43926.0,7.0
43927.0,8.0
43928.0,12.0
43929.0,16.0
43930.0,18.0
43931.0,19.0
43932.0,20.0
43933.0,21.0
43934.0,26.0
43935.0,28.0
43936.0,28.0
43937.0,32.0
43938.0,32.0
43939.0,32.0
43940.0,40.0
43941.0,53.0
43942.0,58.0
43943.0,70.0
43944.0,99.0
43945.0,104.0
43946.0,114.0
43947.0,144.0
43948.0,148.0
43949.0,159.0
43950.0,164.0
43951.0,171.0
43952.0,197.0
43953.0,212.0
43954.0,225.0
43955.0,233.0
43956.0,239.0
43957.0,257.0
43958.0,283.0
43959.0,285.0
43960.0,323.0
43961.0,328.0
43962.0,328.0
43963.0,353.0
43964.0,368.0
43965.0,421.0
43966.0,598.0
43967.0,606.0
43968.0,634.0
43969.0,638.0
43970.0,717.0
43971.0,693.0
43972.0,745.0
43973.0,783.0
43974.0,808.0
43975.0,832.0
43976.0,845.0
43977.0,783.0
43978.0,823.0
43979.0,857.0
43980.0,884.0
43981.0,910.0
43982.0,934.0
43983.0,944.0
43984.0,1004.0
43985.0,1042.0
43986.0,1069.0
