Data,CARiS_An
2020-05-30,2
2020-05-30,1
2020-05-30,2
2020-05-30,2
2020-05-30,9
2020-05-30,10
2020-05-30,58
2020-05-30,4
2020-05-30,5
2020-05-30,2
2020-05-30,95
2020-05-30,11
2020-05-30,8
2020-05-30,1
2020-05-30,1
2020-05-30,1
2020-05-30,49
2020-05-30,5
2020-05-30,9
2020-05-30,1
2020-05-30,2
2020-05-30,17
2020-05-30,598
2020-05-30,1
2020-05-30,12
2020-05-30,32
2020-05-30,26
2020-05-30,4
2020-05-30,55
2020-05-30,2
2020-05-30,2
2020-05-30,2
2020-05-30,10
2020-05-30,30
2020-05-30,97
2020-05-30,2
2020-05-30,15
2020-05-30,6
2020-05-30,4
2020-05-30,6
2020-05-30,2
2020-05-30,7
2020-05-30,1
2020-05-30,4
2020-05-30,17
2020-05-30,105
2020-05-30,4
2020-05-30,15
2020-05-30,1
2020-05-30,1
2020-05-30,8
2020-05-30,40
2020-05-30,157
2020-05-30,6
2020-05-30,2
2020-05-30,152
2020-05-30,1
2020-05-30,3
2020-05-30,12
2020-05-30,6
2020-05-30,1
2020-05-30,12
2020-05-30,2
2020-05-30,7
2020-05-30,3
2020-05-30,23
2020-05-30,1
2020-05-30,11
2020-05-30,7
2020-05-30,48
2020-05-30,1
2020-05-30,6
2020-05-30,3
2020-05-30,18
2020-05-30,4
2020-05-30,3
2020-05-30,12
2020-05-30,49
2020-05-30,2
2020-05-30,5
2020-05-30,5
2020-05-30,133
2020-05-30,2
2020-05-30,9
2020-05-30,1
2020-05-30,12
2020-05-30,11
2020-05-30,11
2020-05-30,26
2020-05-30,33
2020-05-30,141
2020-05-30,261
2020-05-30,10
2020-05-30,5
2020-05-30,9
2020-05-30,11
2020-05-30,7
2020-05-30,6
2020-05-30,25
2020-05-30,29
2020-05-30,340
2020-05-30,17
2020-05-30,9
2020-05-30,6
2020-05-30,7
2020-05-30,1
2020-05-30,1
2020-05-30,8
2020-05-30,13
2020-05-30,1
2020-05-30,62
2020-05-30,52
2020-05-30,22
2020-05-30,5
2020-05-30,8
2020-05-30,6
2020-05-30,18
2020-05-30,16
2020-05-30,1
2020-05-30,17
2020-05-30,8
2020-05-30,9
2020-05-30,1
2020-05-30,2
2020-05-30,3
2020-05-30,11
2020-05-30,1
2020-05-30,3
2020-05-30,2
2020-05-30,12
2020-05-30,21
2020-05-30,1290
2020-05-30,1
2020-05-30,5
2020-05-30,8
2020-05-30,4
2020-05-30,188
2020-05-30,5
2020-05-30,8
2020-05-30,6
2020-05-30,2
2020-05-30,7
2020-05-30,6
2020-05-30,1
2020-05-30,5
2020-05-30,5
2020-05-30,61
2020-05-30,3
2020-05-30,5
2020-05-30,9
2020-05-30,5
2020-05-30,32
2020-05-30,2
2020-05-30,35
2020-05-30,26
2020-05-30,16
2020-05-30,8
2020-05-30,1
2020-05-30,2
2020-05-30,13
2020-05-30,3
2020-05-30,147
2020-05-30,1
2020-05-30,29
2020-05-30,3
2020-05-30,39
2020-05-30,1
2020-05-30,11
2020-05-30,1
2020-05-30,1
2020-05-30,5
2020-05-30,731
2020-05-30,8
2020-05-30,80
2020-05-30,4
2020-05-30,1
2020-05-30,17
2020-05-30,7
2020-05-30,5
2020-05-30,12
2020-05-30,731
2020-05-30,1
2020-05-30,3
2020-05-30,23
2020-05-30,15
2020-05-30,4
2020-05-30,9
2020-05-30,2
2020-05-30,21
2020-05-30,4
2020-05-30,10
2020-05-30,6
2020-05-30,5
2020-05-30,3
2020-05-30,32
2020-05-30,10
2020-05-30,2
2020-05-30,13
2020-05-30,1
2020-05-30,2
2020-05-30,18
2020-05-30,83
2020-05-30,184
2020-05-30,36
2020-05-30,20
2020-05-30,4
2020-05-30,3
2020-05-30,8
2020-05-30,62
2020-05-30,1
2020-05-30,10
2020-05-30,3
2020-05-30,11
2020-05-30,10
2020-05-30,2
2020-05-30,29
2020-05-30,10
2020-05-30,1
2020-05-30,13
2020-05-30,1
2020-05-30,5
2020-05-30,1
2020-05-30,1
2020-05-30,229
2020-05-30,6
2020-05-30,11
2020-05-30,10
2020-05-30,2
2020-05-30,1
2020-05-30,22
2020-05-30,22
2020-05-30,9
2020-05-30,3
2020-05-30,1
2020-05-30,5
2020-05-30,1
2020-05-30,12
2020-05-30,119
2020-05-30,2
2020-05-30,1
2020-05-30,2
