Data,NEBARSCA29020
2020-03-27,0.0
2020-03-28,89.0
2020-03-29,113.0
2020-03-30,128.0
2020-03-31,144.0
2020-04-01,165.0
2020-04-02,179.0
2020-04-03,195.0
2020-04-04,227.0
2020-04-05,259.0
2020-04-06,276.0
2020-04-07,287.0
2020-04-08,309.0
2020-04-09,331.0
2020-04-10,360.0
2020-04-11,375.0
2020-04-12,384.0
2020-04-13,413.0
2020-04-14,452.0
2020-04-15,547.0
2020-04-16,600.0
2020-04-17,673.0
2020-04-18,763.0
2020-04-19,796.0
2020-04-20,859.0
2020-04-21,960.0
2020-04-22,1077.0
2020-04-23,1174.0
2020-04-24,1272.0
2020-04-25,1353.0
2020-04-26,1409.0
2020-04-27,1483.0
2020-04-28,1634.0
2020-04-29,1711.0
2020-04-30,1861.0
2020-05-01,2078.0
2020-05-02,2190.0
2020-05-03,2349.0
2020-05-04,2474.0
2020-05-05,2716.0
2020-05-06,2870.0
2020-05-07,3015.0
2020-05-08,3277.0
2020-05-09,3499.0
2020-05-10,3830.0
2020-05-11,4050.0
2020-05-12,4282.0
2020-05-13,4541.0
2020-05-14,4842.0
2020-05-15,5149.0
2020-05-16,5554.0
2020-05-17,5627.0
2020-05-18,5650.0
2020-05-19,7538.0
2020-05-20,7618.0
2020-05-21,8055.0
2020-05-22,8369.0
2020-05-23,8615.0
2020-05-24,9309.0
2020-05-25,9525.0
2020-05-26,9843.0
2020-05-27,10116.0
2020-05-28,10706.0
2020-05-29,11242.0
2020-05-30,11575.0
2020-05-31,12035.0
2020-06-01,12344.0
2020-06-02,13957.0
2020-06-03,14430.0
2020-06-04,14924.0
2020-06-05,16498.0
2020-06-06,16991.0
2020-06-07,17357.0
2020-06-08,17609.0
2020-06-09,18602.0
2020-06-10,19678.0
2020-06-11,20326.0
2020-06-12,20689.0
2020-06-13,21366.0
2020-06-14,21564.0
2020-06-15,22372.0
2020-06-16,23000.0
2020-06-17,23834.0
2020-06-18,24180.0
2020-06-19,24757.0
2020-06-20,25188.0
2020-06-21,25608.0
2020-06-22,25844.0
2020-06-23,26631.0
2020-06-24,28164.0
2020-06-25,29362.0
2020-06-26,30393.0
2020-06-27,34676.0
2020-06-28,36078.0
2020-06-29,36487.0
2020-06-30,38002.0
2020-07-01,39230.0
2020-07-02,40270.0
2020-07-03,41499.0
2020-07-04,42871.0
2020-07-05,43402.0
2020-07-06,43824.0
2020-07-07,45254.0
2020-07-08,46481.0
2020-07-09,47316.0
2020-07-10,48101.0
2020-07-11,48923.0
2020-07-12,49306.0
2020-07-13,49578.0
2020-07-14,50479.0
2020-07-15,51187.0
2020-07-16,52283.0
2020-07-17,52852.0
2020-07-18,53356.0
2020-07-19,53695.0
2020-07-20,53858.0
2020-07-21,54753.0
2020-07-22,56434.0
