Data,GDM
BR-ES,-1
BR-ES,-4
BR-ES,-6
BR-ES,-5
BR-ES,-6
BR-ES,0
BR-ES,8
BR-ES,12
BR-ES,-3
BR-ES,-37
BR-ES,-35
BR-ES,-21
BR-ES,-15
BR-ES,-19
BR-ES,-14
BR-ES,-19
BR-ES,-18
BR-ES,-5
BR-ES,-7
BR-ES,-2
BR-ES,2
BR-ES,-9
BR-ES,-15
BR-ES,-1
BR-ES,-3
BR-ES,-2
BR-ES,-3
BR-ES,-1
BR-ES,-9
BR-ES,-15
BR-ES,-8
BR-ES,-21
BR-ES,-26
BR-ES,-34
BR-ES,-40
BR-ES,-57
BR-ES,-67
BR-ES,-64
BR-ES,-68
BR-ES,-68
BR-ES,-68
BR-ES,-65
BR-ES,-65
BR-ES,-69
BR-ES,-65
BR-ES,-64
BR-ES,-64
BR-ES,-64
BR-ES,-62
BR-ES,-63
BR-ES,-68
BR-ES,-58
BR-ES,-56
BR-ES,-57
BR-ES,-57
BR-ES,-74
BR-ES,-57
BR-ES,-64
BR-ES,-56
BR-ES,-58
BR-ES,-58
BR-ES,-57
BR-ES,-55
BR-ES,-56
BR-ES,-66
BR-ES,-71
BR-ES,-76
BR-ES,-54
BR-ES,-56
BR-ES,-53
BR-ES,-56
BR-ES,-65
BR-ES,-55
BR-ES,-55
BR-ES,-55
BR-ES,-50
BR-ES,-74
BR-ES,-53
BR-ES,-62
BR-ES,-52
BR-ES,-51
BR-ES,-49
BR-ES,-50
BR-ES,-44
BR-ES,-45
BR-ES,-58
BR-ES,-49
BR-ES,-51
BR-ES,-52
BR-ES,-51
BR-ES,-49
BR-ES,-54
BR-ES,-68
BR-ES,-52
BR-ES,-52
BR-ES,-52
BR-ES,-50
BR-ES,-48
BR-ES,-52
BR-ES,-62
BR-ES,-52
BR-ES,-52
BR-ES,-50
BR-ES,-51
BR-ES,-46
BR-ES,-50
BR-ES,-60
BR-ES,-47
BR-ES,-49
BR-ES,-47
BR-ES,-47
BR-ES,-41
BR-ES,-48
BR-ES,-62
