Data,SERJRSCA33003
2020-03-27,0.0
2020-03-28,1.0
2020-03-29,1.0
2020-03-30,1.0
2020-03-31,1.0
2020-04-01,1.0
2020-04-02,1.0
2020-04-03,2.0
2020-04-04,4.0
2020-04-05,4.0
2020-04-06,4.0
2020-04-07,6.0
2020-04-08,6.0
2020-04-09,8.0
2020-04-10,10.0
2020-04-11,10.0
2020-04-12,10.0
2020-04-13,11.0
2020-04-14,11.0
2020-04-15,20.0
2020-04-16,26.0
2020-04-17,28.0
2020-04-18,28.0
2020-04-19,28.0
2020-04-20,28.0
2020-04-21,28.0
2020-04-22,28.0
2020-04-23,34.0
2020-04-24,39.0
2020-04-25,47.0
2020-04-26,53.0
2020-04-27,54.0
2020-04-28,70.0
2020-04-29,72.0
2020-04-30,80.0
2020-05-01,105.0
2020-05-02,107.0
2020-05-03,117.0
2020-05-04,117.0
2020-05-05,119.0
2020-05-06,124.0
2020-05-07,149.0
2020-05-08,141.0
2020-05-09,172.0
2020-05-10,149.0
2020-05-11,166.0
2020-05-12,195.0
2020-05-13,198.0
2020-05-14,212.0
2020-05-15,213.0
2020-05-16,250.0
2020-05-17,250.0
2020-05-18,357.0
2020-05-19,361.0
2020-05-20,361.0
2020-05-21,361.0
2020-05-22,365.0
2020-05-23,365.0
2020-05-24,631.0
2020-05-25,634.0
2020-05-26,600.0
2020-05-27,593.0
2020-05-28,620.0
2020-05-29,654.0
2020-05-30,904.0
2020-05-31,909.0
2020-06-01,920.0
2020-06-02,994.0
2020-06-03,1007.0
2020-06-04,1021.0
2020-06-05,1042.0
2020-06-06,1048.0
2020-06-07,1166.0
2020-06-08,1175.0
2020-06-09,1235.0
2020-06-10,1285.0
2020-06-11,1296.0
2020-06-12,1298.0
2020-06-13,1225.0
2020-06-14,1246.0
2020-06-15,1260.0
2020-06-16,1306.0
2020-06-17,1360.0
2020-06-18,1358.0
2020-06-19,1482.0
2020-06-20,1512.0
2020-06-21,1546.0
2020-06-22,1570.0
2020-06-23,1622.0
2020-06-24,1688.0
2020-06-25,1774.0
2020-06-26,1839.0
2020-06-27,1842.0
2020-06-28,1925.0
2020-06-29,1972.0
2020-06-30,1973.0
2020-07-01,2114.0
2020-07-02,2206.0
2020-07-03,2256.0
2020-07-04,2306.0
2020-07-05,2325.0
2020-07-06,2332.0
2020-07-07,2406.0
2020-07-08,2440.0
2020-07-09,2495.0
2020-07-10,2500.0
